Number of Buses,Bus Spacing,ReRoute,ChangeLegMode,Speed of Flood,Average Time 1st,Trip distance 1st,Mode Split 100th,Total evacuation time
3,1560,FALSE,TRUE,120,1605.8,4540.690781839838,0.786,5100
3,1620,FALSE,TRUE,120,1651.5,4549.863401417488,0.804,5400
3,1680,FALSE,TRUE,120,1670.6,4595.357997040961,0.81,5400
3,1740,FALSE,TRUE,120,1830.4,4721.581342577979,0.836,5400
3,1800,FALSE,TRUE,120,1648.1,4563.266759154048,0.794,5400
4,120,FALSE,TRUE,120,1945.2,4861.396561530948,0.874,5700
4,180,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
4,240,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
4,300,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
4,360,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
4,420,FALSE,TRUE,120,1911.1,4802.217656001921,0.872,5400
4,480,FALSE,TRUE,120,1728.8,4708.235571205069,0.826,4800
4,540,FALSE,TRUE,120,1587.5,4578.777156689715,0.796,4800
4,600,FALSE,TRUE,120,1650.8,4550.920409670347,0.804,5100
4,660,FALSE,TRUE,120,1738.3,4757.365772857532,0.834,5400
4,720,FALSE,TRUE,120,1626.4,4584.1969761223845,0.806,5400
4,780,FALSE,TRUE,120,1615.8,4594.723570278685,0.798,4800
4,840,FALSE,TRUE,120,1738.7,4609.9301236482015,0.814,5100
4,900,FALSE,TRUE,120,1705.5,4550.701507501629,0.816,5400
4,960,FALSE,TRUE,120,1676.1,4632.587910186087,0.81,5400
4,1020,FALSE,TRUE,120,1670.9,4629.656259302684,0.822,5100
4,1080,FALSE,TRUE,120,1605.4,4567.657337857463,0.786,4800
4,1140,FALSE,TRUE,120,1652.1,4574.713526373742,0.802,5100
4,1200,FALSE,TRUE,120,1740.4,4642.446093575542,0.82,5100
4,1260,FALSE,TRUE,120,1594.4,4526.157478725489,0.8,4800
4,1320,FALSE,TRUE,120,1581.3,4508.376308059953,0.786,5100
4,1380,FALSE,TRUE,120,1728.5,4686.412770570607,0.832,5100
4,1440,FALSE,TRUE,120,1673.9,4548.004343171513,0.81,5100
4,1500,FALSE,TRUE,120,1515.7,4514.299749811566,0.782,4800
4,1560,FALSE,TRUE,120,1564.4,4527.111607354689,0.786,4800
4,1620,FALSE,TRUE,120,1589.1,4529.325021302224,0.788,5100
4,1680,FALSE,TRUE,120,1593.2,4567.453514126633,0.794,4800
4,1740,FALSE,TRUE,120,1667.7,4538.021239308706,0.808,5100
4,1800,FALSE,TRUE,120,1727.7,4547.274745672921,0.812,5400
5,120,FALSE,TRUE,120,1945.2,4861.396561530948,0.874,5700
5,180,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
5,240,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
5,300,FALSE,TRUE,120,1559.4,4388.450166099446,0.776,4800
5,360,FALSE,TRUE,120,1585.2,4508.270426621201,0.784,4800
5,420,FALSE,TRUE,120,1580.9,4469.896678299919,0.784,5100
5,480,FALSE,TRUE,120,1728.8,4708.235571205069,0.826,4800
5,540,FALSE,TRUE,120,1753.9,4696.753615328746,0.828,5400
5,600,FALSE,TRUE,120,1624.8,4556.462354350164,0.796,4800
5,660,FALSE,TRUE,120,1630.0,4552.401175436995,0.792,5100
5,720,FALSE,TRUE,120,1617.6,4555.904142492832,0.802,5100
5,780,FALSE,TRUE,120,1542.4,4472.370274201973,0.776,5100
5,840,FALSE,TRUE,120,1555.0,4542.4407231549385,0.78,5100
5,900,FALSE,TRUE,120,1671.6,4737.231689153793,0.824,5400
5,960,FALSE,TRUE,120,1630.5,4560.534274789931,0.796,5100
5,1020,FALSE,TRUE,120,1619.8,4537.18540720505,0.794,5100
5,1080,FALSE,TRUE,120,1568.8,4473.443488529354,0.776,4800
5,1140,FALSE,TRUE,120,1572.1,4524.111858561008,0.776,5100
5,1200,FALSE,TRUE,120,1611.0,4508.819880571022,0.792,5100
5,1260,FALSE,TRUE,120,1545.0,4503.4743249696085,0.776,4800
5,1320,FALSE,TRUE,120,1591.2,4525.4707884683485,0.788,5100
5,1380,FALSE,TRUE,120,1621.1,4495.298971289329,0.788,5100
5,1440,FALSE,TRUE,120,1712.8,4648.404732690946,0.82,5100
5,1500,FALSE,TRUE,120,1523.8,4507.668458451351,0.778,4800
5,1560,FALSE,TRUE,120,1525.9,4424.319622537566,0.768,5400
5,1620,FALSE,TRUE,120,1562.4,4537.592435224628,0.784,4800
5,1680,FALSE,TRUE,120,1542.4,4506.61740804895,0.782,5100
5,1740,FALSE,TRUE,120,1679.9,4454.656000597007,0.788,5100
5,1800,FALSE,TRUE,120,1583.9,4595.913218291399,0.784,5100
6,120,FALSE,TRUE,120,1945.2,4861.396561530948,0.874,5700
6,180,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
6,240,FALSE,TRUE,120,1477.2,4429.030166752666,0.758,4800
6,300,FALSE,TRUE,120,1559.4,4388.450166099446,0.776,4800
6,360,FALSE,TRUE,120,1585.2,4508.270426621201,0.784,4800
6,420,FALSE,TRUE,120,1575.0,4516.55915574605,0.784,5100
6,480,FALSE,TRUE,120,1557.5,4403.992807548646,0.768,5100
6,540,FALSE,TRUE,120,1495.8,4515.969214506182,0.756,4800
6,600,FALSE,TRUE,120,1623.2,4592.506509748478,0.792,5100
6,660,FALSE,TRUE,120,1510.6,4511.858450417927,0.77,4800
