ITERATION	AvgTripDuration	EvacuationEndSeconds	CarRatio	AvgTravelDistance
0	6529.1	14100	1.0	3697.0105883426195
1	4990.3	12600	0.952	3703.9034859775265
2	4188.6	11700	0.91	3699.246934639907
3	3649.1	10800	0.89	3719.494925432116
4	3085.9	9600	0.856	3732.6442038039595
5	2748.3	8700	0.832	3739.4249685799373
6	2466.4	8100	0.816	3768.229958633261
7	2582.5	9000	0.812	3807.440945523273
8	2247.1	7800	0.8	3845.920688601619
9	2102.8	7500	0.762	3742.646379161748
10	2096.8	7200	0.782	3910.861140528828
11	2199.5	7800	0.78	3919.887837055006
12	1997.8	6900	0.78	3964.029431474876
13	2016.9	6600	0.77	3953.136568327486
14	1895.6	6000	0.78	3995.4391740873098
15	1871.0	6300	0.758	3923.298436925707
16	1845.6	6000	0.764	4018.0831740300855
17	1824.3	6000	0.764	4014.5178728631176
18	1864.5	6000	0.764	4042.42766706777
19	1777.2	5700	0.768	4090.345376539594
20	1760.2	6000	0.75	4048.72669875845
21	1767.6	6000	0.766	4165.122928412589
22	1764.7	6000	0.764	4133.542664792537
23	1765.5	6000	0.77	4219.53818380157
24	1780.3	6000	0.78	4235.15497515667
25	1812.8	5700	0.8	4352.647407924236
26	1810.7	6000	0.79	4304.267531849065
27	1734.3	5700	0.79	4355.382410939112
28	1759.7	6000	0.794	4389.088700860796
29	1748.9	5100	0.806	4457.445085308635
30	1636.5	5100	0.78	4395.079392234635
31	1726.6	5100	0.794	4458.03394550813
32	1690.9	5400	0.79	4417.639509969315
33	1708.9	5400	0.778	4421.30746015149
34	1692.7	5100	0.792	4435.620771821805
35	1722.1	5100	0.804	4517.0910276013665
36	1747.6	5700	0.796	4530.583939493565
37	1748.3	5400	0.81	4515.542609696783
38	1737.3	5400	0.808	4568.988741938956
39	1743.8	5400	0.814	4570.398985816162
40	1743.0	5400	0.8	4550.63613081551
41	1766.5	5100	0.834	4647.059059313066
42	1759.2	5100	0.822	4586.664763541606
43	1707.8	5100	0.816	4612.1138188155965
44	1782.9	5400	0.816	4593.698146808862
45	1687.1	5400	0.816	4654.428554385897
46	1766.9	5100	0.824	4582.614078673781
47	1705.1	5400	0.806	4570.369997159944
48	1770.5	5100	0.82	4630.074653738541
49	1779.0	5100	0.832	4677.825877765613
50	1723.4	5100	0.82	4670.422834036594
51	1726.9	5100	0.814	4560.204485063592
52	1804.0	5100	0.838	4724.385603027047
53	1701.9	5100	0.822	4672.0473521781
54	1722.3	5400	0.816	4665.812298082408
55	1676.5	5100	0.8	4520.339397708493
56	1791.3	5100	0.838	4748.344728551408
57	1660.5	4800	0.808	4620.908830934559
58	1719.6	5100	0.81	4628.99951406122
59	1693.4	4800	0.822	4693.633341055535
60	1687.4	4800	0.814	4674.929722744583
61	1633.4	4800	0.796	4586.966289507218
62	1743.4	5100	0.818	4619.407583575744
63	1603.3	4800	0.788	4585.450828859902
64	1704.2	5100	0.812	4653.711182592627
65	1718.0	4800	0.82	4699.701528962214
66	1620.7	4800	0.792	4602.332819311619
67	1618.7	4800	0.788	4554.67520615883
68	1691.0	5400	0.802	4608.758242694494
69	1677.9	5100	0.786	4513.890628217523
70	1721.8	5700	0.814	4687.613943877706
71	1710.2	4800	0.814	4663.215928677058
72	1670.9	5400	0.806	4636.968945671724
73	1674.6	5100	0.808	4662.832707330553
74	1663.7	5100	0.82	4713.911050438495
75	1700.8	4800	0.81	4722.935822337469
76	1651.0	5400	0.808	4614.099652885292
77	1638.4	5100	0.808	4674.64360920288
78	1670.8	4800	0.81	4662.850279905629
79	1667.2	5100	0.816	4698.953909159022
80	1706.0	5100	0.808	4688.350164081955
81	1687.1	4800	0.82	4691.193347604984
82	1716.7	5100	0.82	4682.211242710158
83	1717.5	5400	0.812	4695.020220975656
84	1691.2	5100	0.814	4703.195990522752
85	1721.7	5100	0.824	4705.680959148055
86	1702.2	5100	0.828	4724.155872730784
87	1655.1	4800	0.81	4733.1201323708465
88	1686.0	4800	0.824	4749.6472995913045
89	1687.2	5100	0.824	4762.578899367586
90	1616.2	4800	0.786	4582.544180994814
91	1719.2	4800	0.82	4710.015689119617
92	1664.0	5100	0.814	4695.81961323647
93	1636.4	5100	0.812	4660.7463311994425
94	1650.7	4800	0.81	4679.169145203521
95	1654.9	5100	0.812	4657.724084716455
96	1699.5	5700	0.82	4668.966127635268
97	1690.2	5100	0.8	4614.009270138528
98	1722.7	4800	0.824	4667.906874494361
99	1657.7	4800	0.806	4667.325988916245
100	1655.2	5100	0.808	4653.645194636681
