Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	10:48:48	10:48:48	10:48:48			10:48:48	10:48:48	10:48:48	10:48:48	10:48:48	10:48:52	10:48:52	10:48:52	10:48:52	10:48:52	10:48:52			10:48:54	10:48:54		00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
1	10:48:54	10:48:54	10:48:54	10:48:54	10:48:55	10:48:55	10:48:55	10:48:55	10:48:55	10:48:55	10:48:58	10:48:58	10:48:58	10:48:58	10:48:58	10:48:58			10:49:00	10:49:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:06
2	10:49:01	10:49:01	10:49:01	10:49:01	10:49:01	10:49:01			10:49:01	10:49:01	10:49:03	10:49:03	10:49:03	10:49:03	10:49:03	10:49:03			10:49:04	10:49:04		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
3	10:49:04	10:49:04	10:49:04	10:49:04	10:49:04	10:49:04			10:49:05	10:49:05	10:49:07	10:49:07	10:49:07	10:49:07	10:49:07	10:49:07			10:49:08	10:49:08		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
4	10:49:08	10:49:08	10:49:08	10:49:08	10:49:08	10:49:08			10:49:08	10:49:08	10:49:10	10:49:10	10:49:10	10:49:10	10:49:10	10:49:10			10:49:11	10:49:11		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
5	10:49:12	10:49:12	10:49:12	10:49:12	10:49:12	10:49:12			10:49:12	10:49:12	10:49:13	10:49:13	10:49:13	10:49:13	10:49:13	10:49:13			10:49:14	10:49:14		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
6	10:49:15	10:49:15	10:49:15	10:49:15	10:49:15	10:49:15			10:49:15	10:49:15	10:49:16	10:49:16	10:49:16	10:49:16	10:49:16	10:49:16			10:49:17	10:49:17		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
7	10:49:17	10:49:17	10:49:17	10:49:17	10:49:17	10:49:17			10:49:17	10:49:17	10:49:19	10:49:19	10:49:19	10:49:19	10:49:19	10:49:19			10:49:21	10:49:21		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
8	10:49:21	10:49:21	10:49:21	10:49:21	10:49:21	10:49:21			10:49:21	10:49:21	10:49:22	10:49:22	10:49:22	10:49:22	10:49:22	10:49:22			10:49:23	10:49:23		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
9	10:49:24	10:49:24	10:49:24	10:49:24	10:49:24	10:49:24			10:49:24	10:49:24	10:49:25	10:49:25	10:49:25	10:49:25	10:49:25	10:49:25			10:49:26	10:49:26		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
