ITERATION	AvgTripDuration	EvacuationEndSeconds	CarRatio	AvgTravelDistance
0	6599.9	14100	1.0	3697.0105883426195
1	5033.2	12600	0.952	3703.782678354822
2	4240.9	12000	0.91	3707.7892635335224
3	3597.5	10800	0.886	3709.576670611687
4	3018.9	9900	0.85	3724.5761098825965
5	2602.4	8700	0.826	3774.882602634816
6	2423.3	8700	0.806	3773.7646316336786
7	2268.2	8400	0.8	3805.4389675331686
8	2066.8	7800	0.782	3841.305679357047
9	1935.7	7800	0.752	3766.322364751776
10	1884.5	6900	0.758	3819.1372358672056
11	1810.3	7200	0.75	3874.0646348896016
12	1800.9	7200	0.736	3861.5367033471193
13	1668.0	6300	0.722	3816.638388082903
14	1598.0	5700	0.732	3947.335360123714
15	1628.9	5400	0.718	3857.747752773949
16	1556.3	5400	0.712	3879.965804772245
17	1562.3	5400	0.702	3861.9472269456264
18	1575.8	5400	0.714	3930.202922290767
19	1498.7	5100	0.718	3920.850150312537
20	1504.9	5100	0.704	3930.1099541408175
21	1652.2	5700	0.73	4054.5116742138557
22	1574.4	5400	0.736	4104.24940183373
23	1484.5	4800	0.714	4040.1141932112164
24	1530.2	5100	0.716	4108.620597212134
25	1595.8	5100	0.746	4212.24646253629
26	1549.1	5100	0.734	4124.331793860425
27	1479.5	4800	0.726	4139.293042860068
28	1491.3	4800	0.718	4085.9150127633716
29	1491.5	4800	0.732	4229.808417012959
30	1410.6	4800	0.716	4174.4201808946345
31	1483.5	4800	0.732	4191.988982532887
32	1477.7	5100	0.716	4185.76790149166
33	1405.7	4800	0.704	4113.906750939992
34	1383.8	4500	0.696	4055.649383389105
35	1441.9	4500	0.726	4234.355187642713
36	1447.0	4800	0.706	4119.38597299522
37	1514.7	4800	0.744	4242.271554774751
38	1498.8	4800	0.734	4260.839712921393
39	1538.5	5100	0.75	4247.173603929005
40	1482.2	4800	0.74	4332.8693172585845
41	1511.3	5100	0.75	4331.794682681779
42	1468.1	4800	0.736	4289.611244737705
43	1455.2	4800	0.73	4303.885106877515
44	1436.7	4500	0.722	4268.77020089384
45	1467.0	5100	0.716	4290.741135180779
46	1515.1	5100	0.744	4259.913403834837
47	1506.7	4800	0.746	4387.850812051023
48	1475.5	4500	0.746	4402.034328154739
49	1457.2	4500	0.744	4375.437402390192
50	1433.5	4500	0.73	4334.399100109018
51	1492.2	5400	0.73	4300.395523500237
52	1502.4	4500	0.754	4376.8908659510935
53	1506.1	4800	0.74	4298.952048795954
54	1459.5	4500	0.736	4346.212405204612
55	1401.9	4800	0.706	4208.796583226339
56	1513.5	4800	0.76	4402.907510124647
57	1439.1	4500	0.726	4317.041507206791
58	1466.5	4800	0.73	4349.572162822411
59	1510.7	4800	0.76	4389.036377260956
60	1487.1	4500	0.744	4376.9058531352575
61	1441.6	4800	0.724	4269.172825552342
62	1435.6	4800	0.736	4370.789734054742
63	1411.8	4800	0.712	4239.479856301722
64	1495.8	4500	0.754	4411.986764213577
65	1474.5	4800	0.754	4401.938827351156
66	1426.5	4200	0.736	4351.360886115879
67	1487.2	4800	0.738	4317.828886340015
68	1482.4	5100	0.744	4477.23804191943
69	1411.3	4500	0.72	4240.638740207358
70	1483.6	4500	0.738	4359.7422387245915
71	1429.5	5100	0.744	4348.2844779051475
72	1472.5	5100	0.718	4314.764477741851
73	1463.7	4800	0.744	4346.539736361588
74	1557.8	5100	0.756	4414.153544014081
75	1539.9	4800	0.758	4465.980922235343
76	1496.0	5100	0.744	4379.1178469328715
77	1512.9	5100	0.756	4452.32759820644
78	1562.4	4500	0.784	4572.0541809322085
79	1528.0	5100	0.766	4494.494459709655
80	1512.2	4500	0.756	4444.816536369186
81	1447.8	4800	0.742	4398.734008141287
82	1486.3	5100	0.758	4449.783066037757
83	1578.0	4800	0.77	4464.940957795552
84	1589.5	5100	0.778	4540.0497114304335
85	1560.2	4500	0.788	4542.498590456251
86	1530.2	4800	0.762	4502.126105626326
87	1482.2	4500	0.766	4527.386902136842
88	1526.5	4500	0.772	4530.384816650109
89	1575.0	5400	0.776	4502.16192673812
90	1461.3	4500	0.742	4401.808438448337
91	1555.8	4800	0.77	4509.906382037027
92	1511.3	4800	0.766	4470.977129773955
93	1502.8	5100	0.752	4426.11805236239
94	1536.7	4500	0.766	4535.994812346909
95	1508.1	4800	0.772	4503.601872883891
96	1521.2	4800	0.772	4540.558215097001
97	1470.0	4800	0.756	4470.442653073652
98	1528.6	4800	0.766	4464.6976274092785
99	1557.6	4800	0.766	4497.689999204553
100	1503.4	4800	0.766	4481.146565941777
