Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	19:45:20	19:45:20	19:45:20			19:45:20	19:45:20	19:45:20	19:45:20	19:45:20	19:45:33	19:45:33	19:45:33	19:45:33	19:45:33	19:45:33			19:45:34	19:45:34		00:00:00		00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:00	00:00:14
1	19:45:35	19:45:35	19:45:35	19:45:35	19:45:35	19:45:35	19:45:35	19:45:35	19:45:35	19:45:35	19:45:47	19:45:47	19:45:47	19:45:47	19:45:47	19:45:47			19:45:48	19:45:48		00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
2	19:45:48	19:45:48	19:45:48	19:45:48	19:45:48	19:45:48			19:45:48	19:45:48	19:46:00	19:46:00	19:46:00	19:46:00	19:46:00	19:46:00			19:46:01	19:46:01		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
3	19:46:01	19:46:01	19:46:01	19:46:01	19:46:01	19:46:01			19:46:01	19:46:01	19:46:13	19:46:13	19:46:13	19:46:13	19:46:13	19:46:13			19:46:14	19:46:14		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
4	19:46:14	19:46:14	19:46:14	19:46:14	19:46:14	19:46:14			19:46:14	19:46:14	19:46:26	19:46:26	19:46:26	19:46:26	19:46:26	19:46:26			19:46:27	19:46:27		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
5	19:46:27	19:46:27	19:46:27	19:46:27	19:46:27	19:46:27			19:46:27	19:46:27	19:46:38	19:46:38	19:46:38	19:46:38	19:46:38	19:46:38			19:46:39	19:46:39		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
6	19:46:39	19:46:39	19:46:39	19:46:39	19:46:39	19:46:39			19:46:39	19:46:39	19:46:51	19:46:51	19:46:51	19:46:51	19:46:51	19:46:51			19:46:52	19:46:52		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
7	19:46:52	19:46:52	19:46:52	19:46:52	19:46:52	19:46:52			19:46:52	19:46:52	19:47:03	19:47:03	19:47:03	19:47:03	19:47:03	19:47:03			19:47:04	19:47:04		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
8	19:47:04	19:47:04	19:47:04	19:47:04	19:47:05	19:47:05			19:47:05	19:47:05	19:47:16	19:47:16	19:47:16	19:47:16	19:47:16	19:47:16			19:47:17	19:47:17		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
9	19:47:17	19:47:17	19:47:17	19:47:17	19:47:17	19:47:17			19:47:17	19:47:17	19:47:29	19:47:29	19:47:29	19:47:29	19:47:29	19:47:29			19:47:30	19:47:30		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
10	19:47:30	19:47:30	19:47:30	19:47:30	19:47:30	19:47:30	19:47:30	19:47:30	19:47:30	19:47:30	19:47:42	19:47:42	19:47:42	19:47:42	19:47:42	19:47:42	19:47:42	19:47:42	19:47:43	19:47:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:00	00:00:01	00:00:13
11	19:47:43	19:47:43	19:47:43	19:47:43	19:47:43	19:47:43			19:47:43	19:47:43	19:47:55	19:47:55	19:47:55	19:47:55	19:47:55	19:47:55			19:47:56	19:47:56		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
12	19:47:56	19:47:56	19:47:56	19:47:56	19:47:56	19:47:56			19:47:56	19:47:56	19:48:07	19:48:07	19:48:07	19:48:07	19:48:07	19:48:07			19:48:08	19:48:08		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
13	19:48:08	19:48:08	19:48:08	19:48:08	19:48:08	19:48:08			19:48:08	19:48:08	19:48:20	19:48:20	19:48:20	19:48:20	19:48:20	19:48:20			19:48:21	19:48:21		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
14	19:48:21	19:48:21	19:48:21	19:48:21	19:48:21	19:48:21			19:48:21	19:48:21	19:48:33	19:48:33	19:48:33	19:48:33	19:48:33	19:48:33			19:48:34	19:48:34		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
15	19:48:34	19:48:34	19:48:34	19:48:34	19:48:34	19:48:34			19:48:34	19:48:34	19:48:45	19:48:45	19:48:45	19:48:45	19:48:45	19:48:45			19:48:46	19:48:46		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
16	19:48:46	19:48:46	19:48:46	19:48:46	19:48:46	19:48:46			19:48:46	19:48:46	19:48:58	19:48:58	19:48:58	19:48:58	19:48:58	19:48:58			19:48:59	19:48:59		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
17	19:48:59	19:48:59	19:48:59	19:48:59	19:48:59	19:48:59			19:48:59	19:48:59	19:49:11	19:49:11	19:49:11	19:49:11	19:49:11	19:49:11			19:49:12	19:49:12		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
18	19:49:12	19:49:12	19:49:12	19:49:12	19:49:12	19:49:12			19:49:12	19:49:12	19:49:24	19:49:24	19:49:24	19:49:24	19:49:24	19:49:24			19:49:24	19:49:24		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
19	19:49:24	19:49:24	19:49:24	19:49:24	19:49:25	19:49:25			19:49:25	19:49:25	19:49:36	19:49:36	19:49:36	19:49:36	19:49:36	19:49:36			19:49:37	19:49:37		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
20	19:49:37	19:49:37	19:49:37	19:49:37	19:49:37	19:49:37	19:49:37	19:49:37	19:49:37	19:49:37	19:49:49	19:49:49	19:49:49	19:49:49	19:49:49	19:49:49	19:49:49	19:49:49	19:49:50	19:49:50		00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:00	00:00:01	00:00:13
21	19:49:50	19:49:50	19:49:50	19:49:50	19:49:51	19:49:51			19:49:51	19:49:51	19:50:02	19:50:02	19:50:02	19:50:02	19:50:02	19:50:02			19:50:03	19:50:03		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
22	19:50:03	19:50:03	19:50:03	19:50:03	19:50:03	19:50:03			19:50:03	19:50:03	19:50:15	19:50:15	19:50:15	19:50:15	19:50:15	19:50:15			19:50:15	19:50:15		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
23	19:50:16	19:50:16	19:50:16	19:50:16	19:50:16	19:50:16			19:50:16	19:50:16	19:50:27	19:50:27	19:50:27	19:50:27	19:50:27	19:50:27			19:50:28	19:50:28		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
24	19:50:28	19:50:28	19:50:28	19:50:28	19:50:28	19:50:28			19:50:28	19:50:28	19:50:40	19:50:40	19:50:40	19:50:40	19:50:40	19:50:40			19:50:41	19:50:41		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
25	19:50:41	19:50:41	19:50:41	19:50:41	19:50:41	19:50:41			19:50:41	19:50:41	19:50:52	19:50:52	19:50:52	19:50:52	19:50:52	19:50:52			19:50:53	19:50:53		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
26	19:50:53	19:50:53	19:50:53	19:50:53	19:50:53	19:50:53			19:50:53	19:50:53	19:51:05	19:51:05	19:51:05	19:51:05	19:51:05	19:51:05			19:51:06	19:51:06		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
27	19:51:06	19:51:06	19:51:06	19:51:06	19:51:06	19:51:06			19:51:06	19:51:06	19:51:18	19:51:18	19:51:18	19:51:18	19:51:18	19:51:18			19:51:19	19:51:19		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
28	19:51:19	19:51:19	19:51:19	19:51:19	19:51:19	19:51:19			19:51:19	19:51:19	19:51:31	19:51:31	19:51:31	19:51:31	19:51:31	19:51:31			19:51:31	19:51:31		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
29	19:51:31	19:51:31	19:51:31	19:51:31	19:51:32	19:51:32			19:51:32	19:51:32	19:51:43	19:51:43	19:51:43	19:51:43	19:51:43	19:51:43			19:51:44	19:51:44		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
30	19:51:44	19:51:44	19:51:44	19:51:44	19:51:44	19:51:44	19:51:44	19:51:44	19:51:44	19:51:44	19:51:57	19:51:57	19:51:57	19:51:57	19:51:57	19:51:57	19:51:57	19:51:57	19:51:58	19:51:58		00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00	00:00:00	00:00:01	00:00:13
31	19:51:58	19:51:58	19:51:58	19:51:58	19:51:58	19:51:58			19:51:58	19:51:58	19:52:10	19:52:10	19:52:10	19:52:10	19:52:10	19:52:10			19:52:11	19:52:11		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
32	19:52:11	19:52:11	19:52:11	19:52:11	19:52:11	19:52:11			19:52:11	19:52:11	19:52:22	19:52:22	19:52:22	19:52:22	19:52:22	19:52:22			19:52:23	19:52:23		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
33	19:52:23	19:52:23	19:52:23	19:52:23	19:52:23	19:52:23			19:52:23	19:52:23	19:52:35	19:52:35	19:52:35	19:52:35	19:52:35	19:52:35			19:52:36	19:52:36		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
34	19:52:36	19:52:36	19:52:36	19:52:36	19:52:36	19:52:36			19:52:36	19:52:36	19:52:48	19:52:48	19:52:48	19:52:48	19:52:48	19:52:48			19:52:48	19:52:48		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
35	19:52:49	19:52:49	19:52:49	19:52:49	19:52:49	19:52:49			19:52:49	19:52:49	19:53:00	19:53:00	19:53:00	19:53:00	19:53:00	19:53:00			19:53:01	19:53:01		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
36	19:53:01	19:53:01	19:53:01	19:53:01	19:53:01	19:53:01			19:53:01	19:53:01	19:53:13	19:53:13	19:53:13	19:53:13	19:53:13	19:53:13			19:53:14	19:53:14		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
37	19:53:14	19:53:14	19:53:14	19:53:14	19:53:14	19:53:14			19:53:14	19:53:14	19:53:26	19:53:26	19:53:26	19:53:26	19:53:26	19:53:26			19:53:26	19:53:26		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
38	19:53:27	19:53:27	19:53:27	19:53:27	19:53:27	19:53:27			19:53:27	19:53:27	19:53:38	19:53:38	19:53:38	19:53:38	19:53:38	19:53:38			19:53:39	19:53:39		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
