Iteration	car	pt	walk
0	1.0	0.0	0.0
1	0.952	0.048	0.0
2	0.924	0.076	0.0
3	0.908	0.092	0.0
4	0.884	0.116	0.0
5	0.866	0.134	0.0
6	0.854	0.146	0.0
7	0.854	0.146	0.0
8	0.852	0.148	0.0
9	0.822	0.178	0.0
10	0.842	0.158	0.0
11	0.84	0.16	0.0
12	0.846	0.154	0.0
13	0.84	0.16	0.0
14	0.852	0.148	0.0
15	0.848	0.152	0.0
16	0.852	0.148	0.0
17	0.852	0.148	0.0
18	0.862	0.138	0.0
19	0.878	0.122	0.0
20	0.87	0.13	0.0
21	0.87	0.13	0.0
22	0.87	0.13	0.0
23	0.874	0.126	0.0
24	0.872	0.128	0.0
25	0.886	0.114	0.0
26	0.886	0.114	0.0
27	0.878	0.122	0.0
28	0.892	0.108	0.0
29	0.914	0.086	0.0
30	0.886	0.114	0.0
31	0.91	0.09	0.0
32	0.896	0.104	0.0
33	0.88	0.12	0.0
34	0.898	0.102	0.0
35	0.908	0.092	0.0
36	0.902	0.098	0.0
37	0.914	0.086	0.0
38	0.91	0.09	0.0
39	0.918	0.082	0.0
40	0.914	0.086	0.0
41	0.924	0.076	0.0
42	0.916	0.084	0.0
43	0.916	0.084	0.0
44	0.918	0.082	0.0
45	0.92	0.08	0.0
46	0.928	0.072	0.0
47	0.914	0.086	0.0
48	0.916	0.084	0.0
49	0.93	0.07	0.0
50	0.924	0.076	0.0
51	0.914	0.086	0.0
52	0.946	0.054	0.0
53	0.926	0.074	0.0
54	0.916	0.084	0.0
55	0.914	0.086	0.0
56	0.948	0.052	0.0
57	0.922	0.078	0.0
58	0.928	0.072	0.0
59	0.944	0.056	0.0
60	0.938	0.062	0.0
61	0.914	0.086	0.0
62	0.936	0.064	0.0
63	0.914	0.086	0.0
64	0.946	0.054	0.0
65	0.938	0.062	0.0
66	0.928	0.072	0.0
67	0.928	0.072	0.0
68	0.934	0.066	0.0
69	0.918	0.082	0.0
70	0.938	0.062	0.0
71	0.948	0.052	0.0
72	0.928	0.072	0.0
73	0.934	0.066	0.0
74	0.96	0.04	0.0
75	0.938	0.062	0.0
76	0.938	0.062	0.0
77	0.938	0.062	0.0
78	0.942	0.058	0.0
79	0.946	0.054	0.0
80	0.944	0.056	0.0
81	0.936	0.064	0.0
82	0.942	0.058	0.0
83	0.94	0.06	0.0
84	0.936	0.064	0.0
85	0.936	0.064	0.0
86	0.954	0.046	0.0
87	0.942	0.058	0.0
88	0.95	0.05	0.0
89	0.952	0.048	0.0
90	0.924	0.076	0.0
91	0.95	0.05	0.0
92	0.944	0.056	0.0
93	0.94	0.06	0.0
94	0.93	0.07	0.0
95	0.948	0.052	0.0
96	0.958	0.042	0.0
97	0.944	0.056	0.0
98	0.952	0.048	0.0
99	0.952	0.048	0.0
100	0.948	0.052	0.0
