ITERATION	AvgTripDuration	EvacuationEndSeconds	CarRatio	AvgTravelDistance
0	6509.7	14100	1.0	3697.0105883426195
1	5545.4	13500	0.948	3592.7621278097313
2	5017.5	13200	0.914	3526.6454747645203
3	4843.1	12900	0.906	3501.3627219061855
4	4333.7	12600	0.87	3432.1264399414
5	4017.8	12000	0.844	3380.6308596887607
6	3661.6	11700	0.818	3336.4585041248406
7	3574.6	11400	0.812	3329.335465094772
8	3258.3	11100	0.782	3269.407116699902
9	3026.1	10800	0.752	3212.5094515704536
10	3035.2	10800	0.756	3238.7535897164566
11	2752.5	9900	0.722	3192.6529453103385
12	2622.7	9900	0.704	3153.3575590980745
13	2522.8	9600	0.702	3172.7263052731905
14	2464.0	9300	0.708	3216.5166074660174
15	2343.5	9000	0.694	3199.9063146514545
16	2335.1	9000	0.692	3196.7119873444767
17	2250.6	8700	0.69	3215.7599842736627
18	2140.3	8100	0.676	3210.3286901277875
19	2120.7	8100	0.664	3189.3683423504385
20	2163.2	7800	0.666	3225.3929520530646
21	2071.1	7800	0.664	3235.016890392886
22	2002.1	7500	0.664	3245.646539481481
23	1989.6	7200	0.662	3256.3539758456322
24	1965.8	7200	0.658	3266.2553591297437
25	1887.1	6900	0.658	3280.6256460672043
26	1891.6	6900	0.66	3310.7434162631644
27	1870.0	6900	0.652	3301.3857968913967
28	1834.7	6900	0.656	3332.769416627871
29	1849.4	6900	0.656	3338.420358868245
30	1845.7	6900	0.662	3363.456114629105
31	1827.9	6300	0.688	3465.1118867608348
32	1810.4	6300	0.678	3479.388247276083
33	1736.9	5700	0.678	3504.185373841405
34	1746.9	5700	0.684	3552.602281519868
35	1726.7	5700	0.682	3583.3747676491976
36	1745.3	5700	0.682	3590.6868063950687
37	1755.9	5700	0.706	3672.0988834436844
38	1779.4	5700	0.702	3697.7403174112615
39	1836.6	6000	0.722	3760.2676412189294
40	1810.2	5700	0.734	3820.5674122947785
41	1826.5	5700	0.744	3890.840129483913
42	1794.4	5700	0.736	3907.3616251092963
43	1728.0	5700	0.726	3902.2380855793663
44	1728.8	5700	0.724	3919.550493936603
45	1703.0	5400	0.73	3954.7875734621007
46	1770.6	5700	0.74	4004.368589560022
47	1733.5	5400	0.744	4041.6865042388504
48	1752.5	5700	0.75	4054.983863664935
49	1790.1	5400	0.774	4118.989842573993
50	1771.2	5700	0.762	4102.630599543855
51	1757.6	5400	0.766	4131.186477478246
52	1764.2	5700	0.768	4151.060387976941
53	1800.2	5700	0.78	4192.2338586663645
54	1780.3	5400	0.778	4212.301548183853
55	1794.5	5700	0.778	4227.556763722378
56	1796.8	5700	0.788	4250.7181832643255
57	1821.2	5700	0.802	4310.166302180422
58	1779.7	5400	0.794	4343.402073999997
59	1823.5	5700	0.794	4327.2568955355055
60	1758.4	5400	0.794	4336.460185888795
61	1739.1	5700	0.786	4300.414995030536
62	1734.6	5400	0.786	4300.358946944123
63	1798.1	5400	0.806	4357.764253843229
64	1810.0	5700	0.808	4426.421323057799
65	1802.8	5400	0.806	4430.98461110904
66	1812.3	5400	0.818	4522.792433944688
67	1773.9	5400	0.802	4455.3232803330775
68	1798.8	5400	0.818	4503.238417007571
69	1802.9	5400	0.816	4534.305646501861
70	1849.5	5700	0.828	4566.3934819530095
71	1877.3	5400	0.824	4545.738987961118
72	1774.0	5400	0.81	4561.940731093034
73	1776.7	5100	0.818	4576.227308571267
74	1835.8	5400	0.826	4623.214951319342
75	1818.3	5400	0.82	4616.342923164085
76	1795.2	5100	0.816	4586.012396564893
77	1820.4	5100	0.816	4583.511243259419
78	1783.8	5100	0.822	4613.024020132104
79	1807.1	5400	0.826	4610.783665175717
80	1740.7	5100	0.812	4575.80955731208
81	1769.6	5100	0.822	4624.0706304346495
82	1767.2	5100	0.82	4609.1228931962905
83	1790.1	5100	0.814	4600.362400236851
84	1810.3	5100	0.816	4540.61454670821
85	1833.1	5100	0.84	4718.146844436264
86	1846.2	5400	0.842	4691.847187845784
87	1848.1	5100	0.854	4753.352769419448
88	1716.1	5100	0.814	4644.355179449233
89	1732.9	5100	0.822	4661.259156050533
90	1781.2	5100	0.83	4717.111593067414
91	1859.1	5100	0.848	4767.119474484169
92	1824.2	5400	0.85	4793.525551058627
93	1836.4	5100	0.854	4832.879855609547
94	1752.0	5100	0.822	4712.579189296042
95	1807.1	5400	0.854	4811.199894409418
96	1795.6	5100	0.86	4858.651745446018
97	1767.9	5100	0.848	4808.663049046083
98	1779.5	5100	0.84	4773.966820185931
99	1762.2	5100	0.844	4812.798392402542
100	1754.7	5100	0.838	4786.306354199076
