Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:43:36	16:43:36	16:43:36			16:43:36	16:43:36	16:43:37	16:43:37	16:43:37	16:43:40	16:43:40	16:43:40	16:43:40	16:43:40	16:43:40			16:43:42	16:43:42		00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
1	16:43:42	16:43:42	16:43:42	16:43:42	16:43:42	16:43:42	16:43:42	16:43:42	16:43:42	16:43:42	16:43:46	16:43:46	16:43:46	16:43:46	16:43:46	16:43:46			16:43:47	16:43:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
2	16:43:47	16:43:47	16:43:47	16:43:47	16:43:47	16:43:47			16:43:47	16:43:47	16:43:50	16:43:50	16:43:50	16:43:50	16:43:50	16:43:50			16:43:51	16:43:51		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	16:43:51	16:43:51	16:43:51	16:43:51	16:43:51	16:43:51			16:43:51	16:43:51	16:43:53	16:43:53	16:43:53	16:43:53	16:43:53	16:43:53			16:43:54	16:43:54		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
4	16:43:54	16:43:54	16:43:54	16:43:54	16:43:54	16:43:54			16:43:54	16:43:54	16:43:57	16:43:57	16:43:57	16:43:57	16:43:57	16:43:57			16:43:58	16:43:58		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
5	16:43:58	16:43:58	16:43:58	16:43:58	16:43:58	16:43:58			16:43:58	16:43:58	16:44:00	16:44:00	16:44:00	16:44:00	16:44:00	16:44:00			16:44:01	16:44:01		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
6	16:44:01	16:44:01	16:44:01	16:44:01	16:44:02	16:44:02			16:44:02	16:44:02	16:44:04	16:44:04	16:44:04	16:44:04	16:44:04	16:44:04			16:44:05	16:44:05		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
7	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05	16:44:05			16:44:05	16:44:05	16:44:07	16:44:07	16:44:07	16:44:07	16:44:07	16:44:07			16:44:08	16:44:08		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
8	16:44:08	16:44:08	16:44:08	16:44:08	16:44:08	16:44:08			16:44:08	16:44:08	16:44:10	16:44:10	16:44:10	16:44:10	16:44:10	16:44:10			16:44:12	16:44:12		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
9	16:44:12	16:44:12	16:44:12	16:44:12	16:44:12	16:44:12			16:44:12	16:44:12	16:44:14	16:44:14	16:44:14	16:44:14	16:44:14	16:44:14			16:44:15	16:44:15		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
