NumberOfBuses,BusSpacing,ReRoute,ChangeLegMode,SpeedOfFlood,AverageTimeLast,TripDistanceLast,ModeSplitLast,TotalEvacuationTime
1,120,FALSE,TRUE,120,2474.7,5475.907341383599,0.948,7200
2,120,FALSE,TRUE,120,2491.1,5475.787207059428,0.95,7200
3,120,FALSE,TRUE,120,2287.9,5172.42110689715,0.916,7200
4,120,FALSE,TRUE,120,2478.1,5330.375408802089,0.934,7200
5,120,FALSE,TRUE,120,1857.9,4932.55890228581,0.834,7200
6,120,FALSE,TRUE,120,1609.0,4565.010949438129,0.768,7200
7,120,FALSE,TRUE,120,1388.6,4413.947448440705,0.726,6300
8,120,FALSE,TRUE,120,1525.4,4461.571214181203,0.76,5100
9,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
10,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
11,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
12,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
13,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
14,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
15,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
16,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
17,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
18,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
19,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
20,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
21,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
22,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
23,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
24,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
25,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
26,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
27,120,FALSE,TRUE,120,1485.3,4487.963851367736,0.756,5400
0,120,TRUE,TRUE,120,2430.0,5653.48455324737,1.0,5100
1,120,TRUE,TRUE,120,2474.7,5475.907341383599,0.948,7200
2,120,TRUE,TRUE,120,2491.1,5475.787207059428,0.95,7200
3,120,TRUE,TRUE,120,2287.9,5172.42110689715,0.916,7200
4,120,TRUE,TRUE,120,1769.7,4825.839621231927,0.814,7200
5,120,TRUE,TRUE,120,1613.3,4665.789822950954,0.778,7200
6,120,TRUE,TRUE,120,1525.3,4393.994156520584,0.746,6300
7,120,TRUE,TRUE,120,1473.3,4457.181087371448,0.752,4800
8,120,TRUE,TRUE,120,1527.0,4538.91399103638,0.77,5100
9,120,TRUE,TRUE,120,1527.0,4538.91399103638,0.77,5100
10,120,TRUE,TRUE,120,1527.0,4538.91399103638,0.77,5100
11,120,TRUE,TRUE,120,1527.0,4538.91399103638,0.77,5100
12,120,TRUE,TRUE,120,1527.0,4538.91399103638,0.77,5100
13,120,TRUE,TRUE,120,1527.0,4538.91399103638,0.77,5100
14,120,TRUE,TRUE,120,1527.0,4538.91399103638,0.77,5100
15,120,TRUE,TRUE,120,1527.0,4538.91399103638,0.77,5100
9,180,FALSE,TRUE,120,1495.9,4411.1318463072885,0.76,5100
9,240,FALSE,TRUE,120,1535.6,4507.881923795843,0.774,4800
9,300,FALSE,TRUE,120,1431.2,4311.787227984786,0.734,4800
9,360,FALSE,TRUE,120,1617.3,4432.318202386584,0.782,5100
9,420,FALSE,TRUE,120,1651.4,4490.141021378024,0.794,5100
9,480,FALSE,TRUE,120,1536.8,4418.546730132785,0.772,5100
9,540,FALSE,TRUE,120,1628.6,4532.854121659659,0.792,5100
9,600,FALSE,TRUE,120,1674.9,4634.735312760118,0.812,5100
9,120,TRUE,TRUE,120,1442.0,4444.528753203384,0.746,4800
9,180,TRUE,TRUE,120,1479.0,4468.484487839042,0.76,5100
9,240,TRUE,TRUE,120,1416.0,4327.476783256869,0.726,5100
9,300,TRUE,TRUE,120,1502.5,4509.735015078369,0.766,5100
